source_system;category;question;answer
evdi;Allgemeine Fragen;Was ist Crowdinvesting?;Crowdinvesting setzt sich zusammen aus den englischen Worten Crowd (Menschenmenge) und Investing (investieren). Beim Crowdinvesting schließen sich viele Investoren über eine Plattform zusammen, um gemeinsam ein Projekt zu finanzieren und eine Rendite zu erzielen. Auf diese Weise können Sie auch als Kleinanleger in große Immobilien-Projekte investieren, für die das Mindestinvestment normalerweise bei rund 500.000 Euro und mehr liegt.
evdi;Allgemeine Fragen;Für wen ist Crowdinvesting geeignet?;Immobilien-Crowdinvesting ist eine Möglichkeit von vielen, am Immobilienmarkt zu investieren. Sie bietet Chancen, birgt aber auch Risiken, wie jede andere Anlage auch. Anleger stellen über die Crowdinvesting-Plattform einem Immobilienunternehmen ein Darlehen zur Verfügung, mit dem dieses Immobilienprojekte finanzieren kann. Aufgrund diverser Risiken besteht für die Anleger letztlich ein Verlustrisiko bis hin zum Totalverlust – daher sollten Sie niemals ihr gesamtes Kapital für diese Anlageform einsetzen. Vielmehr eignet sich Crowdinvesting als Beimischung für ein insgesamt breit aufgestelltes Anlageportfolio.
evdi;Allgemeine Fragen;"Was heißt ""Seite an Seite mit Engel & Völkers Digital Invest""?";Falls weniger Geld durch die Crowd zusammenkommt als angestrebt, ist die Finanzierung sichergestellt. Engel & Völkers Digital Invest und unsere institutionellen Partner beteiligen sich an jedem unserer vorgestellten Projekte.
evdi;Allgemeine Fragen;Warum leiht sich der Projektentwickler das Geld nicht von der Bank?;Banken finanzieren Immobilienprojekte oft nicht komplett, sondern im Durchschnitt zu etwa 60 bis 80%. Den Rest des benötigten Geldes muss der Projektentwickler anderweitig finanzieren. Immer mehr Projektentwickler nutzen daher die Möglichkeit, dieses Kapital über eine Crowd-Finanzierung einzuwerben. Dadurch erhalten die Projekte zusätzlich noch öffentliche Aufmerksamkeit, die bei der Vermarktung der Immobilien (also z.B. dem Verkauf der Wohnungen) häufig hilfreich ist.
evdi;Allgemeine Fragen;Warum sollte ich mein Geld ausgerechnet auf der Crowdinvesting-Plattform Engel & Völkers Digital Invest anlegen?;Private Anleger können auf der Crowdinvesting-Plattform Engel & Völkers Digital Invest gleichrangig mit uns und institutionellen Partnern aus unserem Netzwerk investieren. Das gibt Ihnen die Möglichkeit, sich auch an sehr großen Projekten zu beteiligen. Zusätzlich profitieren Sie von der Sicherheit, dass jedes Projekt vorab mit der umfassenden Immobilen-Expertise von Engel & Völkers Digital Invest analysiert worden ist – mit einem so tiefgehenden Analyseprozess, wie ihn institutionelle Investoren verlangen. Unsere Beteiligung bringt außerdem zum Ausdruck, dass wir von jedem Projekt, das wir finanzieren, überzeugt sind. Darüber hinaus sind Sie durch unsere Finanzierungsgarantie sicher, dass jedes veröffentlichte Projekt zustande kommt.
evdi;Allgemeine Fragen;Kann es Interessenkonflikte geben, woher resultieren sie und durch welche Vorkehrungen schwächen wir sie ab?;"In Ausübung der Vermittlungsleistung von EVDI können sich Interessenkonflikte zwischen Organen und Mitarbeitern von EVDI (nachfolgend gemeinsam ""Mitarbeiter"") und den Crowd-Investoren sowie zwischen den Crowd-Investoren ergeben. Interessenkonflikte aus der Vermittlungstätigkeit von EVDI können sich insbesondere, aber nicht abschließend ergeben:\r\n\r\naus etwaigen vertraglichen Beziehungen zwischen EVDI (oder ihren Mitarbeitern) und dem jeweiligen Darlehensnehmer\r\naus mittelbaren oder unmittelbaren Beteiligungen von mittelbaren oder unmittelbaren Aktionären der EVDI an einem Darlehensnehmer,- aus dem Umstand, dass EVDI (oder ihre Mitarbeiter) oder ein mit EVDI verbundenes Unternehmen einem Darlehensnehmer mittelbar oder unmittelbar ein Darlehen gewährt,\r\naus dem Bezug oder der Leistung von Zuwendungen (z.B. Provisionen) durch EVDI vom Darlehnsnehmer oder von Dritten oder an Dritte im Zusammenhang mit der Schwarmdienstleistung,\r\naus dem eigenen (Umsatz-)Interesse von EVDI (oder ihren Mitarbeitern) als Schwarmfinanzierungsdienstleister, oder\r\naus einer möglichen Mitwirkung von Mitarbeitern von EVDI oder von mittelbaren oder unmittelbaren Aktionären von in Aufsichts- oder Beiräten von Darlehensnehmern.\r\nIn Bezug auf das Investitionsprojekt können darüber hinaus folgende weitere Quellen für Interessenkonflikte bestehen:\r\n\r\nDas Darlehen kann unter anderem der (teilweisen) Ablösung eines Darlehens zur Anschubfinanzierung dienen, welches durch eine Tochtergesellschaft der EVDI an den Darlehensnehmer gewährt wird. EVDI hat also nicht nur als Vermittler und Schwarmfinanzierungsdienstleister ein Interesse an der Investition des Crowd-Investors. EVDI handelt bei der Vermittlung der Anlage zugleich im Interesse ihrer Tochtergesellschaft, da deren Darlehen an den Darlehensnehmer mit dem durch die Schwarmfinanzierung eingeworbenen Darlehenskapital teilweise abgelöst wird.\r\nAuch EVDI bzw. Mitarbeiter von EVDI oder von mittelbaren oder unmittelbaren Aktionären von EVDI treten als Crowd-Investoren auf und investieren über die Plattform zu gleichen Konditionen in das Investitionsprojekt, wie die übrigen Crowd-Investoren,\r\nMitarbeiter von EVDI können vereinzelt erfolgsbasierte Vergütungen gewährt werden, die davon abhängen können, wie viele Crowd-Investoren über die Plattform investieren. Ebenso bestehen für bestimmte Mitarbeitergruppen von EVDI erfolgsabhängige Vergütungen für die Akquise von Darlehensnehmern.\r\nIn all diesen Fällen könnte EVDI und/oder ihre Mitarbeiter oder Mitarbeiter von mittelbaren oder unmittelbaren Aktionären von EVDI daran interessiert sein, dass sich in möglichst kurzer Zeit so viele Crowd-Investoren wie möglich an der betreffenden Schwarmfinanzierung durch den Erwerb von Investitionsprojekten über die Plattform beteiligen und dadurch eine möglichst hohe Investitionssumme erreicht wird. Dies könnte dazu führen, dass EVDI die nach der FinVermV oder der Verordnung (EU) 2020/1503 (SF-VO"") bestehenden Pflichten als Schwarmfinanzierungsdienstleister nicht ordnungsgemäß ausübt. Gleichzeitig können Prozesse z.B. zur Projektauswahl, -analyse, und zum -controlling beeinflusst werden, um Investitionsprojekte anzubieten, die nicht den Qualitätskriterien entsprechend. Darüber hinaus können vertrauliche Informationen oder (potentielle) Insiderinformationen missbräuchlich verwendet werden.\r\n\r\nUm zu vermeiden, dass etwaige Interessenkonflikte die Vermittlung der Investitionsprojekte beeinflussen, ergreift EVDI unter anderem die folgenden Maßnahmen:\r\n\r\nGleichbehandlung der Crowd-Investoren, indem die Crowd-Investoren mit gleichlautenden vertraglichen Regelungen investieren und dementsprechend auch gleich behandelt werden;\r\nOffenlegung, dass EVDI im Rahmen der Vermittlung von Investitionsprojekten regelmäßig folgende Vergütungen vereinnahmt oder erhält. Folgende Vergütungsstruktur ist hier zu nennen: Die Gebührenstruktur bei EVDI ist von Projekt zu Projekt unterschiedlich. Die Gebührenstruktur und die Höhe der Gebühren sind u.a. abhängig von der Finanzierungsstruktur, dem Aufwand, dem Risiko sowie dem zum Zeitpunkt der Konditionserstellung marktüblichen Zinsen, die jeweils mit der jeweiligen Projektfinanzierung verbunden ist. Nicht zuletzt sind Gebühren ein individuelles Verhandlungsergebnis zwischen dem Emittenten und der Plattform. Als Vermittlerin und für die damit im Zusammenhang stehenden Dienstleistungen erhält die EVDI regelmäßig eine einmalige Vermittlungsgebühr vom Emittenten. Aus der Vermittlungsgebühr zahlt die EVDI z.B. die Projektanalyse, die Erstellung der Kampagne, den Informationsfilm, initiale Gebühren des Zahlungsdienstleisters und Marketing. Für die während der Laufzeit der Darlehen erbrachten Leistungen erhält die EVDI regelmäßig eine laufende Servicegebühr, welche z.B. zur Deckung der Kosten für das laufende Projektcontrolling und den laufenden Kundenservice sowie die Abwicklung von laufenden Zinszahlungen dient. Für die initiale Strukturierung des Investitionsprojekts wird in einigen Fällen auch eine Strukturierungsgebühr erhoben.\r\nOffenlegung, dass von EVDI Zuwendungen an den Darlehensnehmer gewährt werden. Der Darlehensnehmer des vorliegenden Investitionsprojektes kann die von einzelnen Crowd-Investoren im Rahmen des vorliegenden Investitionsprojektes eingezahlten Darlehensbeträge von dem in den Darlehensverträgen benannten Zahlungskonto (nachfolgend ""Zahlungskonto"") erst abrufen, wenn eine wirksame Bestellung der im Darlehensvertrag genannten Sicherheit sichergestellt ist. Die Verzinsung und die Laufzeit der Darlehnsvertrage beginnen ungeachtet dessen aber bereits mit dem jeweiligen Tag der Gutschrift des Darlehensbetrages auf dem Zahlungskonto. EVDI hat sich gegenüber dem Darlehensnehmer des vorliegenden Investitionsprojektes zur Zahlung eines Betrages in Höhe desjenigen Betrages verpflichtet, der der durch den Darlehensnehmer gegenüber den Crowd-Investoren geschuldeten Verzinsung für den Zeitraum ab dem jeweiligen Tag der Gutschrift der Darlehensbeträge bis zum Abruf Darlehensbeträge entspricht.\r\nOffenlegung, dass von EVDI Zuwendungen an Dritte gewährt werden: EVDI gewährt im Rahmen der von ihr organisierten Tippgeberprogramme, dem sog. Vermittlerprogramm und Affiliateprogramm, erfolgsabhängige Provisionszahlungen an die teilnehmenden Partner (nachfolgend ""Tippgeber""). Im Rahmen der Tippgeberprogramme räumt EVDI den Tippgebern die Möglichkeit der Bekanntmachung der Plattform ein. Die Bekanntmachung erfolgt, indem der Tippgeber potenzielle Interessenten auf die Gelegenheit der Partizipation an Schwarmfinanzierungen auf der Plattform hinweist, z.B. durch die Herstellung eines Kontaktes zwischen EVDI und dem potenziellen Interessenten, die Benennung von Kontaktdaten potenzieller Interessenten, die namentliche Empfehlung der Plattform oder die Weiterleitung von Werbeunterlagen an den Interessenten. Die Provision des Tippgebers im Rahmen des Vermittlerprogrammes beläuft sich jeweils auf bis zu 1 % des Darlehensbetrages bei erfolgreichem Erstinvestment eines vermittelten Crowd-Investors und bis zu 1 % des Darlehensbetrages bei jedem erfolgreichen Folgeinvestment eines vermittelten Crowd-Investors. Die Provision des Tippgebers im Rahmen des Affiliateprogrammes beläuft sich jeweils auf bis zu EUR 48,00 bei erfolgreichem Erstinvestment eines vermittelten Crowd-Investors. Der Anspruch auf Zahlung der Provision des Tippgebers gegenüber EVDI entsteht aber nur und erst, wenn der Crowd-Investor sich tatsächlich für den Abschluss des Darlehensvertrags entscheidet, die Frist zur Ausübung des gesetzlichen Widerrufsrechts des Crowd-Investors abgelaufen ist und der Crowd-Investor den Darlehensvertrag nicht widerrufen hat. Kommt bei einem Crowd-Investor des vorliegenden Investitionsprojektes ein Vertragsschluss unter Mitwirkung eines Tippgebers im Rahmen des vorgenannten Tippgeberprogramms zustande, so kann dies aus technischen Gründen erst nach der Anlageentscheidung und Investition durch den Crowd-Investor im Rahmen einer Auswertung der zugehörigen Transaktionsdaten und Abrechnung gegenüber den Tippgebern festgestellt werden. EVDI teilt dem Crowd-Investor auf Anfrage mit, inwieweit bei dem vorliegenden Investitionsprojekt Tippgeber-Provisionen angefallen sind;\r\nOffenlegung von potentiellen Interessenkonflikten zwischen EVDI und den Crowd-Investoren (siehe oben);\r\nVerbot einer Beteiligung von EVDI bzw. ihren Mitarbeitern an Darlehensnehmern;\r\nFortlaufende Kontrolle und Schulung der Mitarbeiter von EVDI im Hinblick auf die rechtskonforme Ausübung ihrer Tätigkeit, insbesondere im Hinblick auf die zur Vermeidung von Interessenkonflikten erforderlichen Sicherheitsmaßnahmen;\r\nEinrichtung organisatorischer Verfahren zur Wahrung des Anlegerinteresses in der Finanzierungsvermittlung (z.B. Einbeziehung renommierter externer Gutachter in die Projektprüfung, Vorhandensein interner Regelungen und Prozesse);\r\nVorhandensein von Regelungen zum Umgang mit vertraulichen Informationen und (potentiellen) Insiderinfromationen, und\r\nVorhandensein von Regelungen zum Umgang mit Zuwendungen."
evdi;Geld anlegen;Wer kann über die Crowdinvesting-Plattform von Engel & Völkers Digital Invest Geld anlegen?;Grundsätzlich können alle, die sich gemäß den Nutzungsbedingungen der Engel & Völkers Digital Invest Plattform (AGB) registrieren, bei Engel & Völkers Digital Invest Geld anlegen. Dies gilt auch für Mitarbeiter, Geschäftsführer und Anteilseigner der EV Digital Invest AG, die unter denselben vertraglichen Bedingungen wie andere Anleger in alle Projekte investieren können. Es wird jedoch darauf hingewiesen, dass die Investition in digitale Immobilien-Investments nicht für rein sicherheitsorientierte Anleger geeignet ist, da es sich um eine chancenorientierte Anlage mit höherer Rendite, aber auch hohem Risiko handelt.
evdi;Geld anlegen;Warum raten Verbraucherschützer Kleinanlegern oft vom Crowdinvesting ab?;Bevor jemand sein Geld im Crowdinvesting anlegt, sollte der Anleger sich gut über diese Anlageform und das entsprechende Projekt informieren. Diesen Aufwand scheuen aber viele Kleinanleger und gehen folglich unwissend Risiken ein. Wer Crowd-Anleger wird, muss sich darüber klar sein, dass er in ein Darlehen mit diversen Risiken investiert und daher im schlimmsten Fall mit einem Totalverlust seiner Investition rechnen muss. Gleichzeitig bietet Immobilien-Crowdinvesting gute Renditechancen. Die Chancen und Risiken jedes einzelnen Angebotes müssen Anleger sorgfältig gegeneinander abwägen - denn nur wer informiert ist, kann sinnvoll entscheiden, ob eine bestimmte Geldanlage für ihn in Frage kommt.
evdi;Geld anlegen;Welchen Betrag kann ich als Privatanleger investieren?;Sie können als nicht kundiger privater Anleger zwischen 100 Euro und maximal 25.000 Euro pro Darlehensnehmer investieren. Privatpersonen mit umfangreicher Erfahrung (kundige Anleger) können für Schwarmfinanzierungen gemäß Verordnung (EU) 2020/1503 („SF-VO“) pro Darlehensnehmer auch Einzelinvestments von bis zu 100.000€ und nach vorheriger Absprache auch mehr investieren. Sie können Ihre Einstufung in Ihren Kontoeinstellungen unter dem Punkt „Anlegerschutz“ einsehen und aktualisieren.
evdi;Geld anlegen;Kann ich bei Bedarf schnell wieder über mein Geld verfügen?;Nein. Während die Zinszahlungen i.d.R. quartalsweise während der Laufzeit erfolgen, wird die investierte Summe erst zum Laufzeitende wieder ausgezahlt. Die Laufzeit liegt bei uns in der Regel zwischen sechs Monaten und fünf Jahren. Sie sollten daher nur einen Geldbetrag bei uns anlegen, den Sie während der jeweiligen Projektlaufzeit nicht benötigen.
