source_system;category;question;answer;answer_instructions
evdi;Rechtlicher Hintergrund;Warum müssen Anbieter von Vermögensanlagen und Schwarmfinanzierungen Risikohinweise platzieren?;Die Platzierung von Risikohinweisen ist gesetzlich vorgeschrieben, um Anleger über potenzielle Risiken aufzuklären und zu schützen. Dies basiert auf dem Vermögensanlagengesetz (VermAnlG) und der Schwarmfinanzierungsverordnung (SF-VO). Ziel ist es, Investoren über mögliche Verluste, einschließlich eines Totalverlusts des eingesetzten Kapitals, zu informieren.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Prospektpflicht;Was ist die Prospektpflicht und welche Ausnahmen gibt es für kleinere Vermögensanlagen?;Die Prospektpflicht gilt grundsätzlich für öffentliche Angebote von Vermögensanlagen gemäß § 6 Vermögensanlagengesetz. Vermögensanlagen bis zu 6 Millionen Euro sind jedoch von dieser Pflicht ausgenommen. Stattdessen reicht die Veröffentlichung eines Vermögensanlagen-Informationsblattes (VIB) aus, das bei der BaFin hinterlegt werden muss.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Schwarmfinanzierung;Welche Besonderheiten gelten für Schwarmfinanzierungen hinsichtlich der Prospektpflicht?;Schwarmfinanzierungen bis zu 5 Millionen Euro sind von der Prospektpflicht ausgenommen. Stattdessen ist die Veröffentlichung eines Anlagebasisinformationsblatts erforderlich. Dies geschieht mit Erlaubnis der BaFin gemäß Art. 12 Abs. 1 SF-VO und unter bestimmten weiteren Rechtsauflagen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Ansprüche aus Schwarmfinanzierungen;Wie sind die Ansprüche von Anlegern bei Schwarmfinanzierungen unter der SF-VO geregelt;Bei Schwarmfinanzierungen unter der SF-VO unterliegen die Ansprüche der Anleger keinem qualifizierten Nachrang und keinem Solvenzvorbehalt. Sie können jedoch nachrangig gegenüber Bankkrediten sein, werden aber gleichrangig mit anderen Gläubigern bedient. Die genaue Ausgestaltung ist in den Vertragsunterlagen des jeweiligen Projekts festgelegt.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Qualifizierte Nachrangdarlehen;Was bedeutet der qualifizierte Nachrang bei Vermögensanlagen für die Anleger;Der qualifizierte Nachrang bei Vermögensanlagen bedeutet, dass die Ansprüche der Anleger unter einem Solvenzvorbehalt stehen und nachrangig gegenüber anderen Gläubigern sind. Im Insolvenzfall werden Anleger erst nach Befriedigung vorrangiger Gläubiger berücksichtigt, was zu einem Totalverlust führen kann.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Solvenzvorbehalt;Wie wirkt sich der Solvenzvorbehalt auf die Ansprüche der Anleger aus;Der Solvenzvorbehalt bewirkt, dass Anleger ihre Ansprüche nur geltend machen können, wenn dadurch kein Insolvenzgrund beim Darlehensnehmer entsteht. Die Zahlungsfähigkeit hängt von der wirtschaftlichen Situation des Darlehensnehmers ab. Bei anhaltend schlechter Lage kann dies zum Totalverlust führen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Allgemeine Risiken;Welche grundsätzlichen Risiken bestehen bei Investitionen in Immobilienprojekte;Investitionen in Immobilienprojekte bergen Risiken wie mögliche Zahlungsausfälle, Zinsverluste oder Totalverlust des eingesetzten Kapitals. Die Rendite hängt von vielen Faktoren ab, die nicht sicher vorhersehbar sind. Je höher die potenzielle Rendite, desto höher das Verlustrisiko.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Fremdkapitalfinanzierung;Warum wird von einer Fremdkapitalfinanzierung des Investments abgeraten;Von einer Fremdkapitalfinanzierung des Investments wird abgeraten, da bei einem möglichen Totalverlust des eingesetzten Kapitals die Zins- und Rückzahlungsverpflichtungen für das Fremdkapital weiterhin bestehen würden. Dies könnte zu erheblichen finanziellen Schwierigkeiten für den Anleger führen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Anlagestrategie;Welche Empfehlungen gibt es für eine ausgewogene Anlagestrategie bei Immobilienprojekten;Es wird empfohlen, Investments in Immobilienprojekte nur als Teil einer umfassenden Anlagestrategie zu betrachten. Der Anteil sollte der individuellen Risikobereitschaft entsprechen. Zur Risikostreuung ist es ratsam, in mehrere Projekte zu investieren und ein diversifiziertes Portfolio aufzubauen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Rolle von Engel & Völkers Digital Invest;Welche Rolle spielt Engel & Völkers Digital Invest bei den angebotenen Investitionen;Engel & Völkers Digital Invest ist ausschließlich Vermittler und weder Anbieter noch Emittent der Schwarmfinanzierungen und Vermögensanlagen. Sie stellen lediglich die Präsentation der Kampagnen zur Verfügung, bieten aber keine Anlageberatung oder sonstige Beratungsleistungen an.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Verantwortlichkeiten;Wer ist verantwortlich für die Erfüllung der Zahlungsverpflichtungen gegenüber den Anlegern;Die Verantwortung für die Erfüllung der Zahlungsverpflichtungen liegt beim jeweiligen Darlehensnehmer als Anbieter und Emittent der Schwarmfinanzierungen und Vermögensanlagen. Engel & Völkers Digital Invest ist nicht für ausbleibende Zahlungen oder die Erfüllung sonstiger Pflichten des Darlehensnehmers verantwortlich.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Anlegerentscheidung;Wer trifft die endgültige Entscheidung über eine Investition in ein Immobilienprojekt;Die Entscheidung, ob und in welches Immobilienprojekt investiert wird, liegt allein beim Anleger selbst. Es wird empfohlen, sich sowohl bei der Investitionsentscheidung als auch während der Laufzeit rechtlich, wirtschaftlich und steuerlich beraten zu lassen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Veräußerung von Investitionen;Wie einfach ist es, eine getätigte Investition in ein Immobilienprojekt zu veräußern;Die Veräußerung einer Investition in ein Immobilienprojekt ist rechtlich zwar möglich, in der Praxis aber oft schwierig oder sogar unmöglich. Es existiert kein mit einer Wertpapierbörse vergleichbarer Handelsplatz für diese Anlagen. Anleger müssen daher damit rechnen, während der Laufzeit nicht frei über ihre investierten Mittel verfügen zu können.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Gesetzlicher Risikohinweis;Was besagt der gesetzliche Risikohinweis für Schwarmfinanzierungen gemäß SF-VO;Der gesetzliche Risikohinweis für Schwarmfinanzierungen weist darauf hin, dass Anlagen mit Risiken verbunden sind, einschließlich des Risikos eines teilweisen oder vollständigen Verlusts des angelegten Geldes. Die Anlage ist nicht durch Einlagensicherungs- oder Anlegerentschädigungssysteme geschützt und es besteht keine Garantie für eine Rendite.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Einlagensicherung;Warum sind Anlagen in Schwarmfinanzierungen nicht durch Einlagensicherungssysteme geschützt;Anlagen in Schwarmfinanzierungen sind nicht durch Einlagensicherungssysteme geschützt, da sie keine klassischen Bankeinlagen darstellen. Die Einlagensicherung gemäß der Richtlinie 2014/49/EU des Europäischen Parlaments und des Rates gilt nur für bestimmte Bankprodukte und nicht für Investitionen in Schwarmfinanzierungsprojekte.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Anlegerentschädigung;Warum greift bei Schwarmfinanzierungen kein Anlegerentschädigungssystem;Bei Schwarmfinanzierungen greift kein Anlegerentschädigungssystem, da diese Anlagen nicht unter die Richtlinie 97/9/EG des Europäischen Parlaments und des Rates fallen. Diese Systeme sind in der Regel für bestimmte Wertpapiergeschäfte vorgesehen und nicht für alternative Finanzierungsformen wie Schwarmfinanzierungen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Empfohlener Investitionsanteil;Welchen Anteil des Reinvermögens sollte man maximal in Schwarmfinanzierungsprojekte investieren;Es wird empfohlen, nicht mehr als 10% des Reinvermögens in Schwarmfinanzierungsprojekte zu investieren. Diese Empfehlung dient dazu, das Risiko für den Anleger zu begrenzen und eine angemessene Diversifikation des Gesamtvermögens zu gewährleisten.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Vermögensanlagen-Risikohinweis;Was besagt der gesetzliche Risikohinweis für Vermögensanlagen gemäß VermAnlG;Der gesetzliche Risikohinweis für Vermögensanlagen warnt davor, dass der Erwerb dieser Anlageform mit erheblichen Risiken verbunden ist und zum vollständigen Verlust des eingesetzten Vermögens führen kann. Dies unterstreicht die Notwendigkeit einer sorgfältigen Risikoabwägung vor einer Investition.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Unterschiede der Risikohinweise;Welche wesentlichen Unterschiede bestehen zwischen den Risikohinweisen für Schwarmfinanzierungen und Vermögensanlagen;Der Risikohinweis für Schwarmfinanzierungen ist detaillierter und enthält spezifische Informationen zu fehlenden Sicherungssystemen und Renditerisiken. Der Hinweis für Vermögensanlagen ist kürzer und fokussiert sich auf das Risiko des vollständigen Verlusts. Beide betonen jedoch die erheblichen Risiken der jeweiligen Anlageform.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Prospektpflicht für große Angebote;Ab welchem Gesamtwert unterliegen Vermögensanlagen der vollen Prospektpflicht;Vermögensanlagen mit einem Gesamtwert von über 6 Millionen Euro unterliegen der vollen Prospektpflicht nach § 6 Vermögensanlagengesetz. Für diese Angebote muss ein umfassender Prospekt erstellt und von der BaFin geprüft werden, was mit erheblichem Aufwand und Kosten verbunden ist.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Vermögensanlagen-Informationsblatt;Was ist ein Vermögensanlagen-Informationsblatt (VIB) und wann wird es verwendet;Ein Vermögensanlagen-Informationsblatt (VIB) ist ein kompaktes Dokument, das wesentliche Informationen über eine Vermögensanlage enthält. Es wird für Angebote bis zu 6 Millionen Euro verwendet, die von der vollen Prospektpflicht befreit sind. Das VIB muss bei der BaFin hinterlegt werden und dient der Information der Anleger.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Anlagebasisinformationsblatt;Was unterscheidet ein Anlagebasisinformationsblatt von einem VIB;Ein Anlagebasisinformationsblatt wird bei Schwarmfinanzierungen bis zu 5 Millionen Euro verwendet, während ein VIB für Vermögensanlagen bis 6 Millionen Euro genutzt wird. Beide dienen der Anlegerinformation, unterscheiden sich aber in den rechtlichen Grundlagen (SF-VO vs. VermAnlG) und möglicherweise in den spezifischen Informationsanforderungen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Nachrangigkeit bei Schwarmfinanzierungen;Wie wirkt sich eine vereinbarte Nachrangigkeit bei Schwarmfinanzierungen aus;Eine vereinbarte Nachrangigkeit bei Schwarmfinanzierungen bedeutet, dass die Ansprüche der Investoren nachrangig gegenüber einem bestimmten Kreditvertrag (z.B. mit einer Bank) bedient werden. Sie bleiben jedoch gleichrangig mit anderen Gläubigern. Dies kann die Rückzahlungswahrscheinlichkeit beeinflussen, bietet aber oft höhere Zinsen als Ausgleich.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Sicherheiten bei Bankfinanzierungen;Welche Vorteile haben Banken oft bei der Finanzierung von Immobilienprojekten;Banken haben bei der Finanzierung von Immobilienprojekten oft den Vorteil zusätzlicher Sicherheiten, wie beispielsweise eine vorrangige Grundschuldbesicherung. Dies verschafft ihnen eine risikoärmere Position im Vergleich zu Anlegern einer Schwarmfinanzierung, auch wenn beide formal gleichrangig sind.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Risiko-Rendite-Verhältnis;Wie hängen Risiko und potenzielle Rendite bei Immobilieninvestments zusammen;Bei Immobilieninvestments gilt grundsätzlich: Je höher die potenzielle Rendite, desto höher das Risiko des Verlusts. Dieses Verhältnis spiegelt sich oft in den unterschiedlichen Zinssätzen wider, die Anleger im Vergleich zu traditionellen Bankfinanzierungen erhalten. Höhere Zinsen kompensieren das erhöhte Risiko.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Einflussfaktoren auf die Rendite;Welche Faktoren können die Rendite von Immobilienprojekten beeinflussen;Die Rendite von Immobilienprojekten wird von vielen Faktoren beeinflusst, die teilweise außerhalb der Kontrolle des Emittenten liegen. Dazu gehören Marktveränderungen, rechtliche Rahmenbedingungen, wirtschaftliche Entwicklungen, Baukosten, Mietentwicklungen und unvorhergesehene Ereignisse. Diese Vielfalt an Einflussfaktoren macht die genaue Vorhersage von Renditen schwierig.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Diversifikation;Warum ist Diversifikation bei Immobilieninvestments wichtig;Diversifikation bei Immobilieninvestments ist wichtig, um das Gesamtrisiko des Portfolios zu reduzieren. Durch Investitionen in verschiedene Projekte, Standorte oder Immobilientypen können Anleger das Risiko streuen. So wird verhindert, dass der Erfolg oder Misserfolg eines einzelnen Projekts einen überproportionalen Einfluss auf das Gesamtinvestment hat.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Rechtlicher Hintergrund;Warum sind Risikohinweise bei Schwarmfinanzierungen und Vermögensanlagen gesetzlich vorgeschrieben?;Risikohinweise sind gesetzlich vorgeschrieben, um Anleger über mögliche Risiken, wie den Totalverlust des investierten Kapitals, zu informieren. Sie sollen sicherstellen, dass Anleger fundierte Entscheidungen treffen und über die Gefahren im Bilde sind.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Rechtlicher Hintergrund;Welche gesetzlichen Regelungen legen fest, dass Risikohinweise notwendig sind?;Die Notwendigkeit von Risikohinweisen basiert auf dem Vermögensanlagengesetz (VermAnlG) und der Schwarmfinanzierungsverordnung (SF-VO). Diese Gesetze verpflichten Anbieter von Vermögensanlagen dazu, Anleger über mögliche Risiken aufzuklären, um diese zu schützen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Rechtlicher Hintergrund;Welche Risiken müssen bei Schwarmfinanzierungsprojekten besonders beachtet werden?;Bei Schwarmfinanzierungen bestehen Risiken wie der vollständige Verlust des investierten Kapitals, das Risiko einer geringen Liquidität und die Möglichkeit, dass keine Rendite erzielt wird. Diese Projekte unterliegen nicht der Einlagensicherung oder der Anlegerentschädigung.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Prospektpflicht;Wann gilt für ein Investment die Prospektpflicht gemäß dem Vermögensanlagengesetz?;Die Prospektpflicht gilt für öffentliche Angebote von Vermögensanlagen ab einem Gesamtvolumen von 6 Millionen Euro. Darin müssen umfassende Informationen zum Emittenten und dem Anlageprodukt enthalten sein, um die Risiken und Chancen für Anleger transparent zu machen.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Prospektpflicht;Unter welchen Bedingungen sind Investitionen von der Prospektpflicht befreit?;Investitionen bis zu 6 Millionen Euro sind von der Prospektpflicht befreit. In diesen Fällen reicht die Veröffentlichung eines Vermögensanlagen-Informationsblatts (VIB), das bei der Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin) hinterlegt werden muss, aus.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
evdi;Prospektpflicht;Welche Besonderheiten gelten für Schwarmfinanzierungen hinsichtlich der Prospektpflicht?;Schwarmfinanzierungen bis zu 5 Millionen Euro sind von der Prospektpflicht ausgenommen. Stattdessen reicht die Veröffentlichung eines Anlagebasisinformationsblattes, das unter bestimmten Auflagen durch die BaFin genehmigt werden muss, aus.;Fügen Sie Ihrer Antwort einen Link 'https://www.ev-digitalinvest.de/risikohinweis' bei, der vom Kunden für weitere Analysen genutzt werden kann.
