source_system;project_name;project_id;category;question;answer
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Allgemeine Projektfragen;Welche Verzinsung erhalten Investoren im Projekt 'The Five' und ab wann beginnt diese?;Investoren erhalten eine Verzinsung von 5,6 % p.a., die sofort ab Geldeingang beginnt. Die Laufzeit des Darlehens beträgt etwa 25 Monate bis zum 27.05.2024.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Sicherheit;Welche Sicherheiten bietet das Projekt 'The Five' den Investoren?;Das Projekt 'The Five' ist durch eine nachrangige selbstschuldnerische Höchstbetragsbürgschaft des Geschäftsführers über 500.000 Euro abgesichert. Zudem hat der Gesellschafter mindestens 500.000 Euro Eigenkapital eingebracht.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektentwicklung;Wie viele Wohneinheiten und Parkplätze sind im Rahmen des Projekts 'The Five' geplant?;Im Projekt 'The Five' sind insgesamt 36 Wohneinheiten und 40 Stellplätze geplant, darunter teilweise barrierefreie Wohnungen mit hochwertigen Ausstattungen wie Parkettböden und Marken-Sanitärprodukten.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektzeitplan;Wann ist der Baubeginn und die geplante Fertigstellung des Projekts 'The Five'?;Der Baubeginn des Projekts 'The Five' ist für das 2. Quartal 2022 geplant, und die Fertigstellung soll im 2. Quartal 2024 erfolgen.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Makrolage;Was macht Leipzig als Standort für das Projekt 'The Five' attraktiv?;Leipzig ist mit rund 600.000 Einwohnern die größte Stadt Sachsens und ein bedeutendes Wirtschafts-, Wissenschafts- und Kulturzentrum, das durch seine zentrale Lage und steigende Bevölkerungszahlen besonders attraktiv ist.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Mikrolage;Wie ist die Umgebung des Projekts 'The Five' in Leipzig-Thekla charakterisiert?;Das Projekt 'The Five' liegt im ruhigen, naturnahen Stadtteil Thekla im Nordosten von Leipzig. Die Umgebung ist von Ein- und Zweifamilienhäusern geprägt und bietet zahlreiche Grünflächen sowie Erholungsmöglichkeiten.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Infrastruktur;Wie ist die Infrastruktur rund um das Projekt 'The Five' in Leipzig-Thekla?;Die Infrastruktur rund um das Projekt 'The Five' ist gut: Geschäfte des täglichen Bedarfs, Bildungseinrichtungen und medizinische Versorgung sind in der Nähe vorhanden, ebenso wie Naherholungsmöglichkeiten und eine gute Anbindung an den öffentlichen Verkehr.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Verkehrsanbindung;Welche Verkehrsanbindung bietet das Projekt 'The Five'?;Das Projekt 'The Five' ist sowohl mit dem Auto als auch mit öffentlichen Verkehrsmitteln gut erreichbar. Es liegt 20 Minuten vom Leipziger Stadtzentrum entfernt, und die Autobahn A14 sowie der Flughafen Leipzig-Halle sind in wenigen Minuten erreichbar.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektanalyse;Wie wird das Projekt 'The Five' in der Marktanalyse bewertet?;Das Projekt 'The Five' profitiert von Leipzigs wachsender Bevölkerung und steigenden Immobilienpreisen. Die geringe Konkurrenz für Neubauwohnungen im Umfeld und die naturnahe Lage tragen ebenfalls positiv zur Bewertung bei.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Standortbewertung;Wie wird die Standortqualität des Projekts 'The Five' bewertet?;Der Standort des Projekts 'The Five' überzeugt durch seine ruhige, naturnahe Lage sowie durch eine gute Nahversorgung und Verkehrsanbindung. Die Schaffung ausreichender Stellplätze am Standort wird ebenfalls positiv bewertet.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Baufortschritt;Was ist der aktuelle Stand der Bauarbeiten im Projekt 'The Five'?;Aktuell laufen die ersten Rückbauarbeiten im Projekt 'The Five'. Die Fertigstellung der Wohnungen mit großzügigen Grundrissen und gehobener Ausstattung ist für das 2. Quartal 2024 geplant.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Wirtschaftlichkeit;Wie wird die Wirtschaftlichkeit des Projekts 'The Five' bewertet?;Die Wirtschaftlichkeit des Projekts 'The Five' wird als solide eingeschätzt, da die Nachfrage nach Neubau-Eigentumswohnungen in Leipzig hoch ist und der Abverkauf der Wohneinheiten bereits vor Fertigstellung erfolgen kann.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektentwickler;Wer ist der Projektentwickler des Projekts 'The Five' und welche Erfahrungen bringt er mit?;Der Projektentwickler des Projekts 'The Five' ist die KWP Cleudner Straße GmbH & Co. KG, die Teil der KWP Gruppe ist. Diese ist seit rund 30 Jahren als Bauträger tätig und hat zahlreiche Neubauten und Denkmalprojekte in Leipzig realisiert.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Finanzierung;Wie wird die Finanzierung des Projekts 'The Five' strukturiert?;Das Projekt 'The Five' wird mit einem Gesamtvolumen von 16.705.000 Euro finanziert. Davon stammen 83,8 % aus Fremdkapital, 13,2 % aus Mezzanine-Kapital (inkl. Crowdinvesting) und 3,0 % aus Eigenkapital.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Kostenstruktur;Welche Kosten fallen im Rahmen des Projekts 'The Five' an?;Die Gesamtinvestitionskosten für das Projekt 'The Five' belaufen sich auf 16.705.000 Euro. Davon entfallen unter anderem 2.520.000 Euro auf den Grundstückskauf und 8.751.809 Euro auf die Bauwerkskonstruktion.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Einnahmen;Welche geplanten Einnahmen werden im Projekt 'The Five' erzielt?;Die geplanten Einnahmen für das Projekt 'The Five' betragen 19.572.454 Euro. Der erwartete Verkaufspreis für die Wohnungen liegt im Durchschnitt bei 4.872 €/m², und für einen Tiefgaragenstellplatz werden etwa 25.000 Euro veranschlagt.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Verzinsung;Was passiert mit den Zinszahlungen, wenn das Darlehen im Projekt 'The Five' vorzeitig getilgt wird?;Auch bei einer vorzeitigen Tilgung des Darlehens im Projekt 'The Five' ist der Darlehensnehmer verpflichtet, die vereinbarten Zinsen bis zum 27.02.2024 bzw. 27.05.2024 an die Investoren zu zahlen.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Investorenbeteiligung;Wie beteiligt sich Engel & Völkers Digital Invest an der Finanzierung des Projekts 'The Five'?;Engel & Völkers Digital Invest sowie institutionelle Partner beteiligen sich an jedem ihrer Projekte, darunter auch 'The Five'. Sollte die Crowdfinanzierung nicht das angestrebte Volumen erreichen, wird der Finanzierungsanteil entsprechend erhöht.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Zielgruppe;Für welche Zielgruppe ist das Projekt 'The Five' besonders attraktiv?;Das Projekt 'The Five' richtet sich an Kapitalanleger und Eigenheimbesitzer, die in eine Immobilie in einem wachsenden Wohnstandort wie Leipzig investieren möchten, der von einer steigenden Bevölkerung und hohen Nachfrage nach Wohnungen profitiert.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektstandort;Wie sieht die Makrolage des Projekts 'The Five' aus und welche Vorteile bietet Leipzig als Standort?;Leipzig ist mit rund 600.000 Einwohnern die größte Stadt Sachsens und ein wichtiges Wirtschafts-, Wissenschafts- und Kulturzentrum. Die Einwohnerzahl ist in den letzten Jahren stetig gestiegen, und die Stadt bietet eine hohe Lebensqualität sowie zahlreiche wirtschaftliche Möglichkeiten.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektbeschreibung;Welche Art von Wohnraum bietet das Projekt 'The Five' und wie groß sind die einzelnen Wohneinheiten?;Das Projekt 'The Five' umfasst 36 Wohneinheiten, die von 2-Zimmer-Wohnungen mit etwa 45 m² bis hin zu 4-Zimmer-Wohnungen mit 147 m² reichen. Die Wohnungen sind praktisch geschnitten und verfügen über großzügige Grundrisse sowie Terrassen oder Balkone.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektkonditionen;Welche Verzinsung bietet das Projekt 'The Five' und ab wann beginnt diese?;Das Projekt bietet eine feste Verzinsung von 5,6 % p.a., die sofort ab Geldeingang beginnt. Die Laufzeit des Darlehens beträgt bis zu 25 Monate, wobei mindestens 22 Monate Verzinsung garantiert werden, selbst bei vorzeitiger Tilgung.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektplanung;Welche Zeitspanne ist für den Bau und die Fertigstellung des Projekts 'The Five' vorgesehen?;Der Baubeginn des Projekts ist für das 2. Quartal 2022 geplant, während die Fertigstellung im 2. Quartal 2024 vorgesehen ist. Damit beträgt die geplante Bauzeit etwa 24 Monate.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Lage;Was zeichnet die Mikrolage des Projekts 'The Five' aus und welche Vorzüge bietet das Umfeld?;Das Projekt befindet sich im Leipziger Ortsteil Thekla, einem ruhigen Stadtteil mit naturnahem Ambiente. Die Umgebung ist geprägt von Ein- und Zweifamilienhäusern, vielen Grünflächen und einer guten Anbindung an das Stadtzentrum sowie zu Freizeiteinrichtungen.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Verkehrsanbindung;Wie ist die Verkehrsanbindung des Projekts 'The Five' in Leipzig-Nordost?;Das Projekt ist sowohl mit dem Auto als auch mit öffentlichen Verkehrsmitteln gut zu erreichen. Mit dem Auto beträgt die Fahrtzeit ins Stadtzentrum etwa 20 Minuten, während die S-Bahnstation Leipzig-Thekla nur 3 Minuten entfernt ist. Die Autobahn A14 ist in 6 Minuten erreichbar.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektkalkulation;Wie hoch sind die Gesamtinvestitionskosten für das Projekt 'The Five'?;Die Gesamtinvestitionskosten für das Projekt 'The Five' betragen 16.705.000 €. Darin enthalten sind Kosten für den Grundstückskauf, Baukosten sowie ein Liquiditätspuffer für unvorhergesehene Ausgaben.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektentwickler;Welcher Projektentwickler ist für das Bauprojekt 'The Five' verantwortlich und welche Erfahrung bringt er mit?;Die KWP Cleudner Straße GmbH & Co. KG ist verantwortlich für das Projekt 'The Five'. Die KWP Gruppe hat über 30 Jahre Erfahrung in der Projektentwicklung von Wohn- und Gewerbeimmobilien in Leipzig und realisierte mehr als 200 Neubauten und Denkmalprojekte.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Finanzierung;Wie wird die Finanzierung des Projekts 'The Five' strukturiert?;Die Finanzierung des Projekts 'The Five' besteht aus 14.000.000 € Fremdkapital, 2.205.000 € Mezzanine-Kapital (inklusive Crowdinvesting) und 500.000 € Eigenkapital, das vom Projektentwickler eingebracht wird.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektbeschreibung;Welche historischen Merkmale weist das Bauensemble des Projekts 'The Five' auf?;Das Bauensemble umfasst mehrere Gebäude mit Denkmalschutzstatus, die revitalisiert werden. Das Gelände war ursprünglich ein Gutshof aus dem 19. Jahrhundert, und die Bestandsgebäude entsprechen der traditionellen Gutshof-Architektur.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Infrastruktur;Welche infrastrukturellen Einrichtungen befinden sich in der Nähe des Projekts 'The Five'?;Das Projekt 'The Five' liegt in einem Wohngebiet, das von Geschäften des täglichen Bedarfs umgeben ist. Dazu gehören Discounter, eine Bäckerei und Paketshops. Weitere Einkaufsmöglichkeiten sowie Kindergärten und Bildungseinrichtungen sind in wenigen Minuten erreichbar.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Analyse;Welche demografische Entwicklung wird für den Standort Leipzig erwartet und wie beeinflusst dies das Projekt 'The Five'?;Für Leipzig wird ein Bevölkerungswachstum von etwa 4 % bis 2025 prognostiziert, was eine starke Nachfrage nach Wohnraum erzeugt. Das Projekt 'The Five' profitiert von dieser positiven demografischen Entwicklung, die für den Wohnungsmarkt günstig ist.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektbeschreibung;Wie ist die Aufteilung der Wohnfläche im Projekt 'The Five'?;Die Wohnfläche des Projekts beträgt insgesamt ca. 3.812 m². Sie ist auf 36 Wohneinheiten verteilt, die sich durch großzügige und gut geschnittene Grundrisse auszeichnen. Die Einheiten variieren in der Größe und Ausstattung, um unterschiedliche Bedürfnisse zu bedienen.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Zahlungsfluss;Unter welchen Bedingungen ist eine vorzeitige Tilgung des Darlehens im Projekt 'The Five' möglich?;Eine vorzeitige Tilgung des Darlehens ist möglich, wobei der Darlehensnehmer dennoch verpflichtet ist, die vereinbarten Zinsen bis zum Zeitpunkt der Tilgung an die Investoren auszuzahlen. Dies garantiert eine Verzinsung von mindestens 22 Monaten.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektbeschreibung;Welche Arten von Wohnungen werden im Projekt 'The Five' angeboten und welche besonderen Ausstattungsmerkmale gibt es?;Das Projekt umfasst moderne 2- bis 4-Zimmer-Wohnungen mit einer gehobenen Ausstattung. Zu den besonderen Ausstattungsmerkmalen gehören Parkettböden, Balkone oder Terrassen sowie hochwertige Sanitärprodukte von Markenherstellern.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektanalyse;Wie wird das Projekt 'The Five' in Bezug auf die Wirtschaftlichkeit bewertet?;Das Projekt 'The Five' wird als wirtschaftlich solide eingeschätzt. Aufgrund der hohen Nachfrage nach Neubauwohnungen in Leipzig wird erwartet, dass bereits vor Fertigstellung Einnahmen durch den Verkauf erzielt werden, was die Liquidität der Projektgesellschaft stärkt.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Projektplanung;Welche Besonderheiten gibt es bei der Revitalisierung der denkmalgeschützten Gebäude im Projekt 'The Five'?;Die Revitalisierung der denkmalgeschützten Gebäude erfordert eine genaue Detailplanung, insbesondere in Hinblick auf die Erhaltung der historischen Bausubstanz. Der Projektentwickler verfügt über umfassende Erfahrung in der Restaurierung von Denkmälern in Leipzig.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Finanzierung;Welche Sicherheiten werden für die Finanzierung des Projekts 'The Five' geboten?;Für die Finanzierung des Projekts 'The Five' wurde eine selbstschuldnerische Höchstbetragsbürgschaft des Geschäftsführers über 500.000 Euro hinterlegt. Zudem hat der Projektentwickler Eigenkapital in Höhe von mindestens 500.000 Euro in das Projekt eingebracht.
evdi;The Five;0113C948-C9CE-4A3D-AF99-D66BDEDE7D33;Verkaufspreise;Welche Verkaufspreise werden im Projekt 'The Five' für die Wohnungen erwartet?;Die geplanten Verkaufspreise liegen bei durchschnittlich 4.872 €/m² Wohnfläche. Für Tiefgaragenstellplätze werden zusätzlich etwa 25.000 € veranschlagt. Diese Preisgestaltung entspricht dem aktuellen Marktwert für hochwertige Neubauwohnungen in Leipzig.
