source_system;project_id;project_name;subject;body;comment
evdi;F076C5A5-740E-476B-AA35-9B25389E0A82;smartUP Self-Storage-Park II;Welche Verzinsung kann ich im Projekt 'smartUP SelfStoragePark II' erwarten?;Ich interessiere mich für die genauen Konditionen zur Verzinsung meines Investments im Rahmen dieses Projekts. Gibt es garantierte Zinssätze, und wie erfolgt die Auszahlung? Zudem möchte ich wissen, ob die Zinsraten in regelmäßigen Abständen ausgezahlt werden und ob die Zinsen sich nach bestimmten Bedingungen verändern könnten, abhängig von der Projektentwicklung oder anderen Faktoren.;Removed dashes from project name
evdi;F076C5A5-740E-476B-AA35-9B25389E0A82;smartUP Self-Storage-Park II;Wie wird mein Investment im Projekt smartUP Self Storage Park II abgesichert?;Können Sie mir genau erklären, welche Absicherungen und Garantien für mein Investment vorgesehen sind? Da es sich um eine größere Investition handelt, möchte ich sicherstellen, dass mein Kapital bestmöglich geschützt ist. Gibt es Sicherheiten wie Hypotheken oder andere Ansprüche, die mir im Falle von Schwierigkeiten helfen könnten, mein investiertes Geld zurückzuerhalten?;Removed dashes from project name
evdi;F076C5A5-740E-476B-AA35-9B25389E0A82;smartUP Self-Storage-Park II;Wie hoch sind die Renditen für verschiedene Beträge bei SMARTUP SelfStoragePark II?;Ich möchte mich gerne über die Rendite-Struktur informieren, die bei unterschiedlichen Investmenthöhen in dieses Projekt möglich ist. Gibt es gestaffelte Zinsen oder eine höhere Rendite für größere Investitionen? Außerdem würde mich interessieren, wie oft Zinsauszahlungen geplant sind und ob diese jährlich, halbjährlich oder monatlich ausgeführt werden. Diese Details sind für meine Investitionsentscheidung wichtig.;Removed dashes from project name
evdi;F076C5A5-740E-476B-AA35-9B25389E0A82;smartUP Self-Storage-Park II;Welcher Zeitrahmen ist für die Fertigstellung des Projekts smartUP Self Storage Park II angesetzt?;Ich möchte wissen, ob es eine klare Projektplanung und einen definierten Zeitrahmen gibt, wann das Projekt fertiggestellt und voll betriebsfähig sein wird. Sind alle Genehmigungen bereits vorhanden, oder gibt es möglicherweise Verzögerungen aufgrund von Genehmigungsverfahren? Es wäre hilfreich zu verstehen, ob ein früher oder späterer Abschluss geplant ist und wie sich dies auf die Investitionsbedingungen auswirken könnte.;Removed dashes from project name
evdi;4E10CBD1-7D59-42E7-A0E9-27A6446CFC2B;smart-UP Self-Storage-Park III;Wie werden die Mittel für das Projekt smartUP SelfStoragePark III verwendet?;Mich würde sehr interessieren, wie genau die Mittelverwendung geplant ist. Wird alles in die Projektentwicklung gesteckt, oder sind auch Rücklagen für eventuelle Rückzahlungen vorgesehen? Gibt es eine genaue Budgetierung, die zeigt, welche Summen für welche Bereiche wie Baukosten, Betrieb oder Marketing eingesetzt werden? Ich möchte sicherstellen, dass mein Investment bestmöglich eingesetzt wird und dass Transparenz darüber herrscht.;Removed dashes from project name
evdi;4E10CBD1-7D59-42E7-A0E9-27A6446CFC2B;smart-UP Self-Storage-Park III;Welche Absicherungen gibt es bei der Investition in smartUP Self Storage Park III?;Da ich plane, einen erheblichen Betrag in dieses Projekt zu investieren, interessiert mich, welche Garantien oder Absicherungen vorgesehen sind. Sind meine Mittel durch Hypotheken oder andere Sicherheiten gedeckt, falls es im Verlauf des Projekts zu Problemen kommen sollte? Zudem möchte ich wissen, ob diese Absicherungen von unabhängiger Stelle geprüft wurden und wie solide sie sind.;Removed dashes from project name
evdi;4E10CBD1-7D59-42E7-A0E9-27A6446CFC2B;smart-UP Self-Storage-Park III;Ist mein Investment im Projekt 'SMARTUP SELF-STORAGE-PARK III' gegen unvorhergesehene Kosten abgesichert?;Könnten Sie mir mehr darüber erläutern, ob es Absicherungen gegen mögliche Mehrkosten gibt? Besonders bei großen Projekten kann es ja vorkommen, dass zusätzliche Kosten auftreten, und ich möchte wissen, ob solche Fälle im Finanzierungsplan berücksichtigt sind. Gibt es hierfür Rücklagen oder Versicherungen, die mögliche Zusatzkosten auffangen würden?;
evdi;4E10CBD1-7D59-42E7-A0E9-27A6446CFC2B;smart-UP Self-Storage-Park III;Wie ist die Finanzierung und Eigenkapitalquote im Projekt smartUP Self-Storage-Park III aufgebaut?;Mich würde interessieren, wie viel Eigenkapital der Initiator des Projekts selbst investiert hat. Eine hohe Eigenkapitalquote würde mir mehr Sicherheit geben, da es zeigt, dass die Verantwortlichen ebenfalls finanziell an den Projekterfolg glauben. Gibt es Informationen zur Kapitalstruktur, und wie viel von dem Gesamtbetrag stammt aus Crowdinvesting? Es ist mir wichtig, zu wissen, ob die Finanzierung langfristig gesichert ist.;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Welche Sicherheiten bietet das Projekt DFI Zukunftspark Oberfranken VI?;Können Sie mir bitte mitteilen, welche Sicherheiten im angeboten werden? Es ist mir wichtig zu wissen, wie mein Investment abgesichert wird und ob es zusätzliche Garantien gibt.;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Wie ist die Verzinsung für Investoren im Projekt DFI Zukunftspark Oberfranken VI?;Ich interessiere mich für die Verzinsung beim Projekt DFI Zukunftspark Oberfranken VI. Wann beginnt diese und wie hoch ist sie? Gibt es Unterschiede zwischen verschiedenen Investitionssummen?;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Fragen zur Infrastruktur im Projekt DFI Zukunftspark Oberfranken VI;Ich möchte wissen, welche infrastrukturellen Einrichtungen in der Nähe des Projekts DFI Zukunftspark Oberfranken VI vorhanden sind. Gibt es dort öffentliche Verkehrsmittel oder Einkaufsmöglichkeiten in unmittelbarer Nähe?;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Projektlaufzeit und Rückzahlung im DFI Zukunftspark Oberfranken VI;Wie lange ist die geplante Projektlaufzeit beim DFI Zukunftspark Oberfranken VI und wann kann ich mit der Rückzahlung meiner Investition rechnen? Gibt es die Möglichkeit einer vorzeitigen Rückzahlung?;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Welche Sicherheiten gibt es im DFI Zukunftspark Oberfranken VI?;Mich würde interessieren, welche Sicherheiten für die Investoren im Projekt DFI Zukunftspark Oberfranken VI angeboten werden. Welche Maßnahmen werden zur Risikominimierung ergriffen?;
evdi;54EE27F7-BFB3-49BD-9438-2BE412C8D8A0;DFI Zukunftspark Oberfranken VI;Verzinsung und Projektdauer im DFI Zukunftspark Oberfranken VI;Können Sie mir die Details zur Verzinsung und zur Projektdauer des DFI Zukunftspark Oberfranken VI nennen? Wie hoch sind die Zinsen und wann beginnt die Auszahlung für die Investoren?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Verkaufspreise für Wohnungen im Berliner Flair in Friedrichshain II;Ich würde gerne mehr über die geplanten Verkaufspreise für die Wohnungen im Projekt Berliner Flair in Friedrichshain II erfahren. Welche Quadratmeterpreise sind vorgesehen und wie setzen sich diese zusammen?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Wie hoch sind die Zinsen im Berliner Flair in Friedrichshain II?;Welche Verzinsung bietet das Projekt Berliner Flair in Friedrichshain II für Investoren? Wann beginnt die Auszahlung der Zinsen und gibt es Staffelungen je nach Höhe der Investition?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Sicherheiten im Projekt Berliner Flair in Friedrichshain II;Ich hätte gerne Informationen zu den Sicherheiten, die im Projekt Berliner Flair in Friedrichshain II vorgesehen sind. Wie ist mein Kapital abgesichert und gibt es eine Bürgschaft oder Grundschuld?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Verkehrsanbindung beim Berliner Flair in Friedrichshain II;Wie ist die Verkehrsanbindung beim Projekt Berliner Flair in Friedrichshain II? Gibt es nahegelegene S-Bahn- oder U-Bahn-Stationen und wie schnell erreicht man die Innenstadt?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Fragen zur Projektdauer beim Berliner Flair in Friedrichshain II;Können Sie mir mitteilen, wie lange die geplante Laufzeit des Projekts Berliner Flair in Friedrichshain II ist? Gibt es die Möglichkeit, vorzeitig auszusteigen oder die Investition frühzeitig zu beenden?;
evdi;716867B4-C28C-425E-94BE-59886D853D49;Berliner Flair in Friedrichshain II;Details zur Verzinsung und Sicherheit im Berliner Flair in Friedrichshain II;Wie hoch ist die Verzinsung für Investoren im Projekt Berliner Flair in Friedrichshain II und welche Sicherheiten werden für die Investition angeboten?;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;Welche Rendite erwartet mich bei DFI Zukunftspark Nordbayern IV?;Ich würde gerne wissen, welche Rendite ich bei meinem Investment erwarten kann. Wie werden die Zinssätze festgelegt und welche Faktoren beeinflussen diese?;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;Wie sicher ist mein Investment bei DFI Zukunftspark Nordbayern IV?;Könnten Sie mir bitte Informationen zu den Sicherheitsvorkehrungen geben, die für dieses Investment getroffen wurden? Es ist mir wichtig, dass mein Kapital gut abgesichert ist.;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;Wie ist die Verzinsung für mein Investment?;Ich würde gerne mehr über die Verzinsung bei meinem Investment im Projekt DFI Zukunftspark Nordbayern IV erfahren. Gibt es verschiedene Optionen für unterschiedliche Beträge?;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;Welche Garantien bestehen für das Projekt?;Mich interessiert, ob es Garantien oder andere Sicherheiten für das Projekt DFI Zukunftspark Nordbayern IV gibt, die das Risiko meines Investments reduzieren könnten.;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;DFI Zukunftspark Nordbayern IV – Wie lang ist die Laufzeit?;Wie lange läuft das Projekt und wann kann ich mit der Rückzahlung meines Investments rechnen? Ist die Laufzeit fest oder flexibel?;
evdi;E2FEFD3E-6841-434F-AF12-6E700D7C60D3;DFI Zukunftspark Nordbayern IV;Wie lange dauert das Projekt DFI Zukunftspark Nordbayern IV?;Ich möchte mehr über die geplante Dauer des Projekts DFI Zukunftspark Nordbayern IV erfahren. Welche Faktoren könnten den Zeitrahmen beeinflussen?;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;Wie hoch ist der Zinssatz bei DFI Zukunftspark Oberfranken V?;Ich möchte wissen, welcher Zinssatz bei meinem Investment im Projekt angewendet wird. Gibt es regelmäßige Ausschüttungen oder erfolgt die Auszahlung am Ende der Laufzeit?;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;Wie sicher ist das Investment im Projekt DFI Zukunftspark Oberfranken V?;Welche Sicherheitsmaßnahmen gibt es für dieses Projekt? Es ist mir wichtig zu wissen, wie mein Kapital geschützt wird und ob es zusätzliche Absicherungen gibt.;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;Wann beginnt die Verzinsung?;Wann genau startet die Verzinsung meines Investments im Projekt DFI Zukunftspark Oberfranken V? Wie erfolgt die Zinszahlung – monatlich oder jährlich?;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;Welche Infrastrukturmaßnahmen werden im Projekt durchgeführt?;Das Projekt DFI Zukunftspark Oberfranken V scheint interessante Infrastrukturmaßnahmen zu beinhalten. Können Sie nähere Informationen dazu geben, welche Maßnahmen konkret geplant sind?;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;DFI Zukunftspark Oberfranken V – Gibt es staatliche Förderungen?;Erhalten Investoren im Projekt DFI Zukunftspark Oberfranken V irgendwelche staatlichen Förderungen oder Steuervergünstigungen, die die Rentabilität erhöhen könnten?;
evdi;D1F21F84-9EEC-4D0B-A63A-BF656A28A256;DFI Zukunftspark Oberfranken V;Erhalte ich steuerliche Vorteile?;Ich habe gehört, dass das Projekt DFI Zukunftspark Oberfranken V möglicherweise steuerliche Vorteile bietet. Können Sie mir hierzu nähere Informationen geben?;
evdi;811DC8A3-C453-48A0-82DD-58DF3AD52A6D;Am Akkonplatz;Wie ist das Risiko beim Projekt Am Akkonplatz eingeschätzt?;Wie wird das Risiko bei diesem Investment eingeschätzt? Gibt es Schutzmechanismen, um mein Kapital zu sichern, falls das Projekt nicht erfolgreich ist?;
evdi;811DC8A3-C453-48A0-82DD-58DF3AD52A6D;Am Akkonplatz;Wie lange dauert die Finanzierung des Projekts Am Akkonplatz?;Könnten Sie mir bitte mitteilen, wie lange die geplante Dauer der Finanzierung ist? Wann kann ich mit der Rückzahlung meines Investments rechnen?;
evdi;811DC8A3-C453-48A0-82DD-58DF3AD52A6D;Am Akkonplatz;Was für Sicherheiten gibt es bei diesem Investment?;Welche Sicherheiten bietet das Projekt Am Akkonplatz, um das Risiko für die Investoren zu minimieren? Sind alle Investitionen gleich gut abgesichert?;
